user_input,classification_label,complexity,label_encoded,complexity_encoded
Write a script to automate payment validations,process_automation,medium,8,2
Generate a report on customer acquisition trends,report_generation,high,9,0
Check a policy for anti-money laundering compliance,compliance_check,high,1,0
Extract account details from a mortgage contract,data_extraction,medium,4,2
Create a customer support response for a billing error,customer_support,low,2,1
Summarize a financial analysis for stakeholders,text_summarization,high,14,0
Write a Python function to validate transaction records,code_generation,medium,0,2
Analyze sentiment in customer complaint emails,sentiment_analysis,medium,10,2
Generate a technical manual for a banking system,technical_documentation,high,12,0
Translate a banking notice into Spanish,translation,medium,15,2
Write a SQL query to calculate credit card balances,sql_query,medium,11,2
Generate a compliance report for internal review,report_generation,high,9,0
Answer a query about account security protocols,customer_support,low,2,1
Analyze deposit patterns for small business accounts,data_analysis,high,3,0
Check a financial model for legal inaccuracies,compliance_check,high,1,0
Extract payment terms from a business contract,data_extraction,medium,4,2
Write a script to automate customer notifications,process_automation,medium,8,2
Summarize a risk management policy update,text_summarization,high,14,0
Generate a customer email for a new savings plan,text_generation,low,13,1
Translate a compliance guideline into Japanese,translation,medium,15,2
Write a SQL query to analyze loan repayment patterns,sql_query,medium,11,2
Analyze market sentiment for a stock portfolio,sentiment_analysis,high,10,0
Generate a risk profile for a corporate client,financial_analysis,high,5,0
Write documentation for a banking API integration,technical_documentation,high,12,0
Extract terms from a vendor agreement,data_extraction,medium,4,2
Answer a question about loan interest calculations,customer_support,low,2,1
Summarize a report on economic forecasts,text_summarization,high,14,0
Write a Python script to validate customer records,code_generation,medium,0,2
Analyze sentiment in customer support chats,sentiment_analysis,medium,10,2
Generate a report on branch financial performance,report_generation,high,9,0
Check a loan contract for regulatory errors,compliance_check,high,1,0
Extract data from a customer application form,data_extraction,medium,4,2
Create a customer support response for a payment dispute,customer_support,low,2,1
Summarize a compliance policy for auditors,text_summarization,medium,14,2
Write a SQL query to track customer spending trends,sql_query,medium,11,2
Generate a risk report for a new credit product,financial_analysis,high,5,0
Translate a customer contract into Mandarin,translation,medium,15,2
Write a script to automate fraud detection reports,process_automation,high,8,0
Analyze loan default trends by region,data_analysis,high,3,0
Create a technical manual for a payment platform,technical_documentation,high,12,0
Extract key clauses from a financial agreement,data_extraction,medium,4,2
Debug a SQL query for branch performance analysis,sql_query,medium,11,2
Summarize a regulatory guideline on fraud prevention,text_summarization,medium,14,2
Answer a question about credit card payment options,customer_support,low,2,1
Analyze transaction data for regulatory compliance,data_analysis,high,3,0
Translate a financial report into Korean,translation,medium,15,2
Write a script to automate compliance reporting,process_automation,high,8,0
Generate a report on loan portfolio risks,report_generation,high,9,0
Check a policy for GDPR compliance,compliance_check,high,1,0
Extract account details from a signed contract,data_extraction,medium,4,2
Create a customer support response for a fraud alert,customer_support,low,2,1
Summarize a financial performance analysis,text_summarization,high,14,0
Write a Python function to calculate credit risk,code_generation,medium,0,2
Generate a technical manual for a banking platform,technical_documentation,high,12,0
Write a SQL query to track branch transaction volumes,sql_query,medium,11,2
Generate a compliance report for regulatory audits,report_generation,high,9,0
Answer a query about online banking authentication,customer_support,low,2,1
Analyze deposit trends for retail accounts,data_analysis,high,3,0
Check a financial statement for compliance errors,compliance_check,high,1,0
Extract payment terms from a lease agreement,data_extraction,medium,4,2
Summarize a risk assessment for a new product,text_summarization,high,14,0
Generate a customer email for a new banking feature,text_generation,low,13,1
Translate a compliance notice into Arabic,translation,medium,15,2
Write a SQL query to summarize customer loan data,sql_query,medium,11,2
Analyze market sentiment for a new stock issue,sentiment_analysis,high,10,0
Generate a risk profile for a retail client,financial_analysis,high,5,0
Write documentation for a fraud detection system,technical_documentation,high,12,0
Answer a query about credit card interest calculations,customer_support,low,2,1
Summarize a compliance training guide,text_summarization,medium,14,2
Write a Python script to validate transaction data,code_generation,medium,0,2
Analyze sentiment in customer feedback surveys,sentiment_analysis,medium,10,2
Generate a report on branch operational performance,report_generation,high,9,0
Check a loan contract for AML compliance,compliance_check,high,1,0
Extract terms from a commercial loan agreement,data_extraction,medium,4,2
Summarize a report on market volatility,text_summarization,high,14,0
Write a SQL query to calculate loan repayment totals,sql_query,medium,11,2
Generate a customer guide for loan repayment options,text_generation,medium,13,2
Analyze loan repayment trends by customer segment,data_analysis,high,3,0
Translate a banking policy into Portuguese,translation,medium,15,2
Write a script to automate compliance checks,process_automation,high,8,0
Create a summary of customer satisfaction data,text_summarization,medium,14,2
Answer a query about loan repayment terms,customer_support,low,2,1
Generate a risk report for a new investment product,financial_analysis,high,5,0
Write documentation for a payment processing API,technical_documentation,high,12,0
Extract key clauses from a loan agreement,data_extraction,medium,4,2
Debug a SQL query for customer account analysis,sql_query,medium,11,2
Summarize a regulatory update on data protection,text_summarization,medium,14,2
Answer a question about credit card rewards eligibility,customer_support,low,2,1
Analyze transaction data for fraud detection,data_analysis,high,3,0
Translate a financial statement into Spanish,translation,medium,15,2
Generate a report on customer retention trends,report_generation,high,9,0
Check a policy for data protection compliance,compliance_check,high,1,0
Extract account details from a loan application,data_extraction,medium,4,2
Create a customer support response for a payment issue,customer_support,low,2,1
Summarize a financial risk assessment report,text_summarization,high,14,0
Write a Python function to validate customer records,code_generation,medium,0,2
Analyze sentiment in customer complaint forms,sentiment_analysis,medium,10,2
Translate a banking notice into Mandarin,translation,medium,15,2
Write a SQL query to track customer deposits,sql_query,medium,11,2
Generate a compliance report for regulatory review,report_generation,high,9,0
Answer a query about mobile banking security features,customer_support,low,2,1
Analyze deposit trends for small business accounts,data_analysis,high,3,0
Generate a customer email for a new loan offer,text_generation,low,13,1
Translate a compliance notice into Japanese,translation,medium,15,2
Write a SQL query to analyze customer spending trends,sql_query,medium,11,2
Analyze market sentiment for a bond portfolio,sentiment_analysis,high,10,0
Extract terms from a financial contract,data_extraction,medium,4,2
Answer a question about savings account terms,customer_support,low,2,1
Write a Python script to calculate credit risk,code_generation,medium,0,2
Analyze sentiment in customer support interactions,sentiment_analysis,medium,10,2
Summarize a compliance policy for new employees,text_summarization,medium,14,2
Write a SQL query to track customer loan payments,sql_query,medium,11,2
Translate a customer contract into Korean,translation,medium,15,2
Analyze loan default rates by customer segment,data_analysis,high,3,0
Translate a financial report into Portuguese,translation,medium,15,2
Generate a report on loan portfolio performance,report_generation,high,9,0
Generate a compliance report for internal audits,report_generation,high,9,0
Check a financial model for regulatory issues,compliance_check,high,1,0
Translate a compliance guideline into Spanish,translation,medium,15,2
Write a Python script to validate customer data,code_generation,medium,0,2
Write a Python function that validates a 12-digit customer account number using a checksum algorithm.,code_generation,low,0,1
"Generate the complete Java class structure for processing SWIFT MT103 payment messages, including methods for parsing, validation against nostro accounts, and serialization to JSON.",code_generation,high,0,0
Create a shell script to backup the transaction logs from the production database server to the archival storage every night at 2 AM.,code_generation,medium,0,2
Write a Go function to interact with the Kubernetes API to check the health status of our payment gateway pods.,code_generation,high,0,0
"Generate a Python dataclass for representing a 'Sovereign Gold Bond' (SGB) investment, including issue date, maturity date, and grammage.",code_generation,medium,0,2
Create a simple HTML and JavaScript form to calculate the potential returns on a Recurring Deposit (RD).,code_generation,low,0,1
Write a Kotlin function for our Android app to securely store a user's MPIN using the Android Keystore system.,code_generation,high,0,0
Generate a Python script to connect to our data warehouse and pull daily transaction data into a pandas DataFrame.,code_generation,low,0,1
Create a Java class to handle token-based authentication for our internal APIs using JWT.,code_generation,medium,0,2
Write a script to automate the process of setting up a new developer's environment.,code_generation,medium,0,2
Generate a boilerplate Python Flask application for a new internal microservice.,code_generation,low,0,1
Generate a Python script that uses OCR to read a scanned cheque and extract the MICR code.,code_generation,high,0,0
Write a Python script to validate a list of Indian mobile numbers from a text file.,code_generation,low,0,1
"Generate a function to calculate the credit risk score for a customer based on their age, income, and existing liabilities.",code_generation,high,0,0
Write a Python script to connect to the BSE website and downloads the closing price of a given stock for the last 30 days.,code_generation,medium,0,2
Generate a Java function to encrypt a string using AES-256.,code_generation,medium,0,2
What was the total value of UPI transactions processed yesterday?,data_analysis,low,3,1
Analyze the trend of credit card defaults over the past five years and correlate it with macroeconomic indicators like inflation and unemployment rates.,data_analysis,high,3,0
Identify the top 5 branches in the South India region by the number of new fixed deposit accounts opened in Q2 2025.,data_analysis,medium,3,2
Write a Python script to perform automated A/B testing analysis for two different versions of our 'Apply for Loan' webpage.,data_analysis,high,3,0
Analyze the adoption rate of our new Video KYC process for NRI customers and compare it to the traditional in-person verification.,data_analysis,medium,3,2
What is the average ticket size for Gold Loans disbursed from our branches in Tamil Nadu last month?,data_analysis,low,3,1
Analyze the correlation between a customer's monthly average balance and their likelihood to adopt a new digital product.,data_analysis,high,3,0
What is the average turnaround time for resolving customer complaints submitted via our mobile app?,data_analysis,medium,3,2
How many customers have set up recurring payments for their mutual fund SIPs this month?,data_analysis,low,3,1
Analyze the performance of our machine learning model for fraud detection. What are its current precision and recall scores?,data_analysis,high,3,0
Analyze the impact of the recent interest rate hike on our fixed deposit portfolio growth.,data_analysis,medium,3,2
Analyze the effectiveness of our SMS marketing campaigns. What is the average click-through rate?,data_analysis,low,3,1
Analyze the geographic distribution of our personal loan customers.,data_analysis,medium,3,2
Analyze the churn rate of our savings account customers and identify the primary reasons for account closure.,data_analysis,high,3,0
Analyze the usage patterns of our different credit card variants to see which benefits are most utilized by customers.,data_analysis,medium,3,2
Generate a monthly report of all high-value transactions (over ₹10 lakh) that need to be reported to the Financial Intelligence Unit (FIU).,report_generation,medium,9,2
Create a simple CSV file listing all employees in the IT department who have not completed their mandatory cybersecurity training.,report_generation,low,9,1
"Generate the quarterly NPA (Non-Performing Asset) report as per the official RBI circular's format, including provisioning coverage ratio and trend analysis.",report_generation,high,9,0
"Generate a weekly report on the performance of our chatbot, including the number of queries handled, resolution rate, and escalation rate to human agents.",report_generation,medium,9,2
Create a report of all MSME clients who are eligible for the new government-backed credit guarantee scheme.,report_generation,medium,9,2
Generate a simple list of all FASTag activations from the Chennai toll plaza in the last 24 hours.,report_generation,low,9,1
Generate a report of all dormant accounts that are nearing the escheatment deadline.,report_generation,medium,9,2
"Create a monthly report detailing the cloud infrastructure costs on AWS, broken down by service and project tag.",report_generation,high,9,0
List all vendors whose contracts are up for renewal in the next 90 days.,report_generation,low,9,1
"Create a report on the usage of our corporate banking portal, highlighting the most and least used features.",report_generation,medium,9,2
Generate a report of all large cash transactions that occurred yesterday at our Hyderabad branches.,report_generation,medium,9,2
Create a report of all assets that are due for re-verification by the audit team.,report_generation,medium,9,2
Generate a report of all software licenses that will expire in the next six months.,report_generation,medium,9,2
Create a report on the carbon footprint of our bank's operations for the annual sustainability report.,report_generation,high,9,0
Generate a report showing the aging of unresolved customer complaints.,report_generation,medium,9,2
Summarize this 40-page document on the new RBI digital lending guidelines into a one-page brief for the management team.,text_summarization,high,14,0
Give me a five-point summary of the attached customer call transcript regarding a disputed transaction.,text_summarization,medium,14,2
Summarize this internal audit memo about server patch vulnerabilities.,text_summarization,low,14,1
Summarize the RBI's annual report on 'Trends and Progress of Banking in India' into a 10-slide presentation.,text_summarization,high,14,0
Provide a summary of customer feedback received through WhatsApp banking for the month of August 2025.,text_summarization,medium,14,2
"Summarize this 10,000-word research paper on the use of AI in credit scoring.",text_summarization,high,14,0
Give me the key takeaways from the attached meeting minutes of the Asset Liability Committee (ALM).,text_summarization,medium,14,2
Summarize this competitive analysis report on the digital offerings of our top 3 rival banks.,text_summarization,medium,14,2
Summarize the latest circular from the National Payments Corporation of India (NPCI) on UPI regulations.,text_summarization,medium,14,2
Summarize this legal document outlining a new partnership with a fintech company.,text_summarization,high,14,0
Summarize this article about blockchain technology's potential impact on trade finance.,text_summarization,medium,14,2
Summarize this lengthy customer conversation from our support chatbot.,text_summarization,low,14,1
Summarize the key points of the latest board meeting.,text_summarization,low,14,1
Summarize this threat intelligence report about a new banking trojan.,text_summarization,medium,14,2
Which marketing campaign last quarter had the best conversion rate for car loans?,natural_language_query,medium,6,2
Show me the number of active mobile banking users in Chennai.,natural_language_query,low,6,1
Find all corporate clients who had a credit rating upgrade in the last six months but whose loan utilization has decreased.,natural_language_query,high,6,0
Which of our branches in Pune have the highest number of High Net-worth Individual (HNI) accounts?,natural_language_query,medium,6,2
Show me all agricultural loans disbursed in the state of Punjab in the last quarter.,natural_language_query,medium,6,2
What is the current Loan-to-Value (LTV) ratio for gold loans?,natural_language_query,low,6,1
Who are the top 3 relationship managers by the value of new investments brought in last quarter?,natural_language_query,medium,6,2
How many of our employees have completed the mandatory AML (Anti-Money Laundering) certification?,natural_language_query,low,6,1
What is the average time taken to approve a personal loan application from submission to disbursal?,natural_language_query,medium,6,2
How many customers have linked their Aadhaar to their bank account?,natural_language_query,low,6,1
What is the total value of Gold Loans we have disbursed in the current financial year?,natural_language_query,medium,6,2
How many of our employees are certified cloud practitioners?,natural_language_query,low,6,1
What is the phone number for the credit card customer support for lost cards?,natural_language_query,low,6,1
How many ATMs do we have in Kolkata?,natural_language_query,low,6,1
What are the working hours for our Ahmedabad main branch?,natural_language_query,low,6,1
"Write the API documentation for our new '/v2/accounts/{accountId}/balance' endpoint, including response codes for success, not found, and unauthorized access.",technical_documentation,medium,12,2
"Create a complete architecture diagram and documentation for the proposed Real-Time Fraud Detection system, detailing the Kafka pipeline, Flink processing engine, and the model inference API.",technical_documentation,high,12,0
Add a docstring to this Python function explaining its parameters and return value.,technical_documentation,low,12,1
Create a comprehensive guide for our relationship managers on how to pitch our new wealth management products to HNI clients.,technical_documentation,medium,12,2
Document the standard operating procedure (SOP) for handling a 'Letter of Credit' issuance for an import-export client.,technical_documentation,high,12,0
"Create a developer onboarding guide that explains our CI/CD pipeline, coding standards, and release process.",technical_documentation,high,12,0
Document the input fields and validation rules for the new 'Education Loan' application form on our website.,technical_documentation,medium,12,2
Document our bank's official social media policy for employees.,technical_documentation,low,12,1
"Create a document explaining the security features of our mobile banking app, such as two-factor authentication and biometric login.",technical_documentation,medium,12,2
Document the workflow for our internal IT helpdesk ticketing system.,technical_documentation,low,12,1
Create a document outlining the best practices for secure coding to prevent SQL injection and cross-site scripting.,technical_documentation,high,12,0
Document our API rate limiting policy for external partners.,technical_documentation,medium,12,2
Create a document detailing the steps to restore a database from a backup.,technical_documentation,medium,12,2
Document the firewall rules required for our new application server.,technical_documentation,medium,12,2
Analyze the Q2 2025 financial statements of XYZ Steel Ltd. and calculate their debt-to-equity ratio and interest coverage ratio.,financial_analysis,medium,5,2
Perform a discounted cash flow (DCF) valuation for a corporate client to assess their eligibility for a 50 crore term loan.,financial_analysis,high,5,0
What is the EMI for a ₹40 lakh home loan for a 20-year term at an 8.5% interest rate?,financial_analysis,low,5,1
Assess the risk profile of issuing a 10 crore Bank Guarantee (BG) for an MSME client in the manufacturing sector.,financial_analysis,high,5,0
Calculate the projected cash flow for a farm applying for a 5 lakh agri-loan based on their crop cycle and expected yield.,financial_analysis,medium,5,2
Calculate the Capital to Risk-Weighted Assets Ratio (CRAR) for the bank as of last quarter.,financial_analysis,high,5,0
A customer's ATM withdrawal failed but the amount was debited. Draft an empathetic response explaining the TAT for automatic reversal and the process for raising a formal complaint if it fails.,customer_support,medium,2,2
"A customer is angry that their credit card application was rejected. Draft a polite and firm response that explains the decision cannot be overturned immediately, without revealing the confidential credit scoring criteria.",customer_support,high,2,0
What is our policy on dormant account activation?,customer_support,low,2,1
A merchant's POS machine is not working and showing 'Batch Upload Failed'. Draft a troubleshooting guide for our on-field support executive to follow.,customer_support,medium,2,2
A farmer wants to apply for a KCC (Kisan Credit Card). Draft a response explaining the eligibility criteria and required documents in simple terms.,customer_support,low,2,1
A customer who is an NRI wants to open a new NRE account. Draft a response guiding them through the video KYC process.,customer_support,medium,2,2
A small business owner is asking about the documents required for an MSME loan. List them clearly.,customer_support,low,2,1
A customer wants to dispute a charge on their credit card statement. Explain the chargeback process and timelines.,customer_support,medium,2,2
A customer's family member has passed away. Explain the process for the death claim settlement of their account balance with empathy and clarity.,customer_support,high,2,0
A customer wants to redeem their mutual fund units. Explain the concept of Net Asset Value (NAV) and how the redemption amount will be calculated.,customer_support,high,2,0
Scan this home loan application and verify if the applicant's declared income in the form matches the income stated in their attached salary slips and Form 16.,compliance_check,medium,1,2
Review this proposed marketing email for a new mutual fund to ensure it contains all the mandatory SEBI risk disclaimers.,compliance_check,low,1,1
Analyze this series of international transactions for customer ID 789123 against AML and KYC regulations to flag any suspicious activity that might indicate structuring.,compliance_check,high,1,0
Review the terms for our new Gold Loan product to ensure they are compliant with RBI's latest circular on Loan-to-Value (LTV) ratio.,compliance_check,medium,1,2
Check if the automated social media monitoring tool is correctly flagging posts that could pose a reputational risk to the bank.,compliance_check,high,1,0
"Review our chatbot's conversation logs to ensure it is not providing any financial advice, which would be a compliance violation.",compliance_check,medium,1,2
Review our marketing materials for the new investment product to ensure they are compliant with SEBI's advertising code.,compliance_check,medium,1,2
Check if a new high-risk corporate client appears on any international sanctions lists like the OFAC SDN list.,compliance_check,high,1,0
Review the privacy policy of a new third-party vendor we are planning to partner with.,compliance_check,medium,1,2
"Check if our vendor's data security certification (e.g., ISO 27001) is still valid.",compliance_check,low,1,1
Translate 'Your transaction is successful' into Tamil.,translation,low,15,1
"Translate this customer support email from Hindi to English, maintaining a formal tone.",translation,medium,15,2
"Translate the 'Terms and Conditions' section of our new loan agreement from English to Tamil, ensuring all legal terminology is accurately represented.",translation,high,15,0
Translate 'Your FASTag has been recharged successfully' into Hindi.,translation,low,15,1
Translate the phrase 'Education loan for studying abroad' into Tamil and Telugu.,translation,medium,15,2
Translate 'Your loan application is under review' into Hindi.,translation,low,15,1
"Translate 'This is a system generated message, please do not reply' into the top 8 Indian languages.",translation,high,15,0
Translate 'Your credit card statement is now available' into Bengali.,translation,low,15,1
Translate 'Fixed Deposit' and 'Recurring Deposit' into Hindi.,translation,low,15,1
Translate 'OTP' (One-Time Password) into its full form and then into Hindi.,translation,low,15,1
What is the sentiment of the sentence: 'I am very happy with the service'?,sentiment_analysis,low,10,1
"Analyze the sentiment of the attached customer service call transcript. Is the customer's sentiment positive, negative, or neutral overall?",sentiment_analysis,medium,10,2
Analyze all social media mentions of our bank over the last 24 hours. Identify the prevailing sentiment and summarize the top three reasons for any significant negative sentiment.,sentiment_analysis,high,10,0
Analyze the sentiment of feedback from our corporate clients regarding the new trade finance portal.,sentiment_analysis,medium,10,2
Analyze the sentiment of our employees based on the latest anonymous internal survey results.,sentiment_analysis,high,10,0
Analyze the sentiment of customer calls that were escalated to a manager.,sentiment_analysis,medium,10,2
Analyze the sentiment of customer conversations mentioning our new interest rates.,sentiment_analysis,medium,10,2
Analyze the sentiment of our bank's stock performance based on analyst reports from the last quarter.,sentiment_analysis,high,10,0
Analyze the sentiment of news articles mentioning our CEO in the last month.,sentiment_analysis,medium,10,2
Analyze the sentiment of a viral tweet that mentions our bank.,sentiment_analysis,medium,10,2
Analyze the sentiment of a specific politician's speech regarding the banking sector.,sentiment_analysis,high,10,0
"Draft a short, promotional SMS about our new higher interest rates for fixed deposits.",text_generation,low,13,1
"Draft a marketing email targeting salaried professionals for our new 'Platinum Plus' credit card, highlighting its travel and lifestyle benefits.",text_generation,medium,13,2
Write a 500-word blog post for our website titled 'Five Smart Ways to Plan Your Finances for Retirement in India'.,text_generation,high,13,0
Generate a tweet thread explaining the benefits of investing in Sovereign Gold Bonds (SGBs) vs physical gold.,text_generation,medium,13,2
Write a blog post titled 'How to choose the right credit card for your lifestyle'.,text_generation,medium,13,2
Generate an SMS campaign to promote our FASTag product to car loan customers.,text_generation,medium,13,2
Write a script for a chatbot to answer frequently asked questions about home loans.,text_generation,medium,13,2
Generate a series of FAQs for our website about the new RBI guidelines on tokenization.,text_generation,medium,13,2
Write an official circular for internal distribution announcing a new employee stock option plan (ESOP).,text_generation,high,13,0
Write an apology letter to a customer who experienced a service outage.,text_generation,medium,13,2
Extract the account number from this string: 'My account number is 012345678901'.,data_extraction,low,4,1
"From the attached bank statement PDF, extract the opening balance, closing balance, and total debits for the month of July 2025.",data_extraction,medium,4,2
"Read the attached property deed document (scanned PDF) and extract the names of the owners, the property address, and the total area in square feet.",data_extraction,high,4,0
Extract the Udyam Registration Number from a scanned business registration certificate.,data_extraction,medium,4,2
Extract the beneficiary name and IFSC code from a screenshot of a successful transaction.,data_extraction,medium,4,2
"Extract all the details from a Form 16 PDF, including employer name, employee name, PAN, and TDS amount.",data_extraction,high,4,0
Extract the GSTIN number from a scanned invoice.,data_extraction,low,4,1
Extract structured data from a semi-structured email confirming a flight booking.,data_extraction,medium,4,2
"From a scanned PDF of a passport, extract the name, passport number, and date of expiry.",data_extraction,medium,4,2
Extract the vehicle registration number from an image of a number plate.,data_extraction,medium,4,2
Extract the case number and next hearing date from a legal summons document.,data_extraction,high,4,0
Create a rule to automatically send an email notification when a new file is uploaded to the 'TradeSettlements' SharePoint folder.,process_automation,low,8,1
"Write a script that pulls the daily currency exchange rates from the RBI API, formats them into a CSV file, and emails it to the 'forex-team' distribution list.",process_automation,medium,8,2
"Design a complete automation workflow for employee expense reimbursement. The workflow should allow an employee to submit a PDF receipt, use OCR to extract the amount and vendor, route it to their manager for approval, and upon approval, trigger a payment instruction to the finance system.",process_automation,high,8,0
Design an automation that sends a WhatsApp notification to a customer once their Video KYC session is successfully completed.,process_automation,medium,8,2
Automate the process of flagging loan applications where the applicant's address is in a known high-risk area.,process_automation,high,8,0
Automate the task of sending a monthly account statement to all our customers via email.,process_automation,medium,8,2
Automate the daily process of reconciling ATM cash balances across the city.,process_automation,high,8,0
Automate the approval workflow for employee travel requests.,process_automation,low,8,1
Automate the process of assigning a relationship manager to a new HNI client based on their location and investment profile.,process_automation,high,8,0
Automate the process of checking for and installing software patches on our servers every weekend.,process_automation,medium,8,2
Automate the process of sending birthday wishes to our customers via email and SMS.,process_automation,low,8,1
Explain what a 'Nominee' is in a savings account.,policy_explanation,low,7,1
"Explain the difference between a NEFT and an RTGS transfer, including transfer limits and settlement times.",policy_explanation,medium,7,2
"A customer wants to know why they are being charged a 'non-maintenance of average monthly balance' fee even though they had a large fixed deposit. Explain the bank's policy on how different account types are treated for AMB calculations, citing the relevant clause from our T&Cs.",policy_explanation,high,7,0
Explain the process and benefits of linking a Public Provident Fund (PPF) account with our savings account.,policy_explanation,medium,7,2
Explain what a 'collateral' is in the context of a secured loan.,policy_explanation,low,7,1
Explain the difference between a 'Demat' account and a 'Trading' account.,policy_explanation,medium,7,2
Explain what a 'moratorium period' is for an education loan.,policy_explanation,medium,7,2
Explain the concept of 'co-borrower' and 'guarantor' in a loan application.,policy_explanation,medium,7,2
"Explain the different types of mutual funds (equity, debt, hybrid) in simple terms.",policy_explanation,medium,7,2
Explain what 'phishing' is and provide three tips for our customers to identify and avoid it.,policy_explanation,medium,7,2
Write a SQL query to select all customers from the 'Customers' table who live in Chennai.,sql_query,low,11,1
Write a SQL query to find the total loan amount disbursed per branch for the last month. Join the 'Loans' and 'Branches' tables.,sql_query,medium,11,2
Write a SQL query to find the top 3 customers in each state by total transaction value for the current year. Use a window function like RANK() or DENSE_RANK().,sql_query,high,11,0
Write a SQL query to find all agricultural loan accounts that are eligible for the government's interest subvention scheme in the current fiscal year.,sql_query,high,11,0
Write a SQL query to find customers who have a high credit score (>780) but do not have any active loans with us.,sql_query,medium,11,2
Write a SQL query to find all transactions that originated from IP addresses outside of India.,sql_query,medium,11,2
Write a SQL query to get a list of all customers who have not logged into the netbanking portal in the last 180 days.,sql_query,medium,11,2
Write a SQL query to find the customer with the highest number of failed login attempts today.,sql_query,medium,11,2
Write a SQL query to find the busiest hour of the day for transactions at our main branch.,sql_query,medium,11,2
"Write a SQL query to identify duplicate customer records based on a combination of name, date of birth, and PAN number.",sql_query,high,11,0
Write a SQL query to find all customers who have an active loan and have missed more than two EMI payments consecutively.,sql_query,high,11,0
Write a SQL query to find the total number of new accounts opened per month in the last year.,sql_query,medium,11,2
